employee_id;last_name;first_name;TEL;CCP;birth_date;NIN;poste_travail;categorie;daira;commune;ecole
1231975;BAKHALED ;DJAMEL;668791640;1975;04/07/1975;5791321;أستاذ ;ثانوي ;توقرت ;النزلة ;أبي بكر بلقايد
1231976;houmia;adel;668791641;1976;05/07/1975;6791321;أستاذ مكون;إبتدائي ;الحجيرة;العالية;المجاهد لقوقي 
;deba;omar;668791642;1977;06/07/1975;7791321;أستاذ رئيسي ;متوسط;الطيبات ;النقر;سيدي العجال 
1231978;djedira;kader;;1978;07/07/1975;8791321;مدير;ثانوي ;المقارين ;سيدي سليمان;الحارث
1231979;bouras;hadjer;668791644;1979;08/07/1975;9791321;مفتش;إبتدائي ;تماسين ;بلدة عمر;قمو محمود
1231980;abdelli;allal;668791645;1980;09/07/1975;10791321;مستشار توجيه ;متوسط;توقرت ;تبسبست;العمودي محمد الأمين 
;benli;walid;;1981;10/07/1975;11791321;مراقب;ثانوي ;توقرت ;سيدي مهدي;المجاهد النوي
;تتتتتتتتتتتتتتتتتتتتتتتتتتتتتتت;لللللللللللللللللللللللللللللللل;;1982;;للللللللللللللللللللللللل;ىىىىىىىىىىىىىىىىىىىىىىى;ىىىىىىىىىىىىىىىىىىىىىىىىىى;;;
;ككككككككككككككككككك;ككككككككككككككككككككك;;1983;;ككككككككككككككككككككك;ككككككككككككككككك;كككككككككككككككككككككككك;;;
;ثثثثثثثثثثثثثثثثثثثثثثثثثثثثثث;ثثثثثثثثثثثثثثثث;99999999;1984;22/02/2000;ثثثثثثثثثثثثثثثثثث;ثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثث;ثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثث;ثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثثث;;
;;;;1985;;;;;;;
;;;;1986;;;;;;;
